,Location,new_cases,new_deaths,new_vaccination
138,Guinea,13497237,482.02758620689656,7083445.0
139,Zimbabwe,15092171,5400.5,8920041.0
140,Anguilla,15125,281.00000000000017,546129.0
141,Mongolia,3329282,2318.0,7468605.0
142,Comoros,888456,299.0,998592.0
143,Gambia,2486937,368.0,417609.0
144,Mali,20855724,724.0,918276.0
145,Libya,6958538,6298.5,14890718.0
146,Lithuania,2689862,8470.0,5296815.0
147,Bhutan,779900,160.0,39592219.0
148,Pakistan,225199929,30281.0,361644498.0
149,Mozambique,32163045,2547.5,184333264.0
150,Norway,5465629,1724.5535714285716,11233166.0
151,Tunisia,11935764,27869.0,15093109.0
152,New Caledonia,288217,3541.000000000005,714.0
153,Saint Pierre and Miquelon,5771,1001.5,90610.0
154,Uganda,47123533,3693.1803278688526,5724229.0
155,Falkland Islands,3528,276.5884353741496,19749910.0
156,Iraq,41179351,25935.5,4088058.0
157,Liechtenstein,38254,202.0,73025.0
158,Equatorial Guinea,1449891,259.00000000000006,419319.0
159,Austria,9043072,15299.0,12631443.0
160,Spain,46745211,100991.0,125839230.0
161,China,1444216102,4680.0,4077449000.0
162,Timor,1343875,9629.0,4705425.0
163,Faeroe Islands,49053,283849.9999999999,992815.0
164,Bahrain,1748295,1553.0,6483987.0
165,Germany,83900471,124472.0,176234959.0
166,Jamaica,2973462,3674.0,6554755.0
167,Niue,1614,0.0,0.0
168,Uruguay,3485152,23265.0,7863994.0
169,Venezuela,28704947,5660.877192982456,271063.0
170,Lesotho,2159067,1038.0,1217173.0
171,Saudi Arabia,35340680,9013.0,101743950.0
172,Ghana,31732128,2450.0,31611969.0
173,Haiti,11541683,926.0,1003220.0
174,Guyana,790329,1222.0,1454188.0
175,Vietnam,98168829,41453.5,182421455.0
176,New Zealand,5126300,86.0,10673704.0
177,Mauritius,1273428,793.0,21797401.0
178,South Africa,60041996,99555.5,35338269.0
179,Palestine,5222756,5542.5,4501576.0
180,Brunei,441532,138.5,1110081.0
181,Estonia,1325188,2301.0,2060568.0
182,Angola,33933611,1914.0,1013173.0
183,Croatia,4081657,15145.0,7354205.0
184,Hong Kong,7552800,1497.5714285714287,13260830.0
185,Dominican Republic,10953714,4378.0,16711921.0
186,Cote d'Ivoire,27053629,893.0,12780271.0
187,Greece,10370747,25980.5,21182943.0
188,Nauru,10873,469.140350877193,1540184.0
189,Democratic Republic of Congo,92377986,1620.0,27877740.0
190,British Virgin Islands,30423,3725.0,531570.0
191,Syria,18275704,3117.0,1121958.0
192,Benin,12451031,173.5,61625433.0
193,Uzbekistan,33935765,1727.0,118912869.0
194,El Salvador,6518500,4215.0,16760968.0
195,Denmark,5813302,4669.5,13186152.0
196,Singapore,5453600,1098.0,13577968.0
197,Malaysia,32776195,33048.0,67874345.0
198,Belarus,9442867,6522.0,29360.0
199,Finland,5548361,2400.0,4222008.0
200,Czechia,10724553,38833.5,18130686.0
201,Micronesia (country),116255,79414.27990430624,677614.0
202,Tonga,106759,195.35214446952597,741146.0
203,Honduras,10062994,46363.92857142857,12231971.0
204,Poland,37797000,111891.91489361702,54536965.0
205,Qatar,2930524,1034.0,13962245.0
206,Cameroon,27224262,1932.5,2357080.0
207,Switzerland,8715494,14072.5,15570321.0
208,Tokelau,1368,14.796839729119638,266532.0
209,Ukraine,43466822,114077.17241379309,32106412.0
210,United Arab Emirates,9991083,8895.827586206897,24257861.0
211,Kuwait,4328553,2580.0,8291626.0
212,Pitcairn,47,2483.0851063829787,365500.0
213,Cook Islands,17572,136.80333333333334,411554.0
214,Nigeria,211400704,3157.0,94149084.0
215,Papua New Guinea,9119005,1031.0,246698.0
216,Latvia,1866934,5302.5,2855852.0
217,Algeria,44616626,6867.0,8412034.0
218,Bangladesh,166303494,29060.5,328330576.0
219,Thailand,69950844,23103.0,127386602.0
220,Vatican,812,357.12280701754383,274079.0
221,Isle of Man,85410,164.0,199861.0
222,Gibraltar,33691,227.0,471539.0
223,Taiwan,23855008,915.0,58488491.0
